127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.059204
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.065897
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.074896
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.029755
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.037493
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/css/web2py-codemirror.css, HTTP/1.1, 200, 0.041329
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.047778
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.027916
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.046040
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.062701
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.063948
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.070110
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.092572
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.087777
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.038968
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.101932
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.049814
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.058591
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.064545
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.064934
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.075066
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.044999
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.054554
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.066846
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.058986
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.066995
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.053121
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/js/typeahead.min.js, HTTP/1.1, 200, 0.115954
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/js/ajax_editor.js, HTTP/1.1, 200, 0.102994
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.102691
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/codemirror/emmet.min.js, HTTP/1.1, 200, 0.097375
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.050240
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/default/edit/myapp/models/db.py, HTTP/1.1, 200, 0.087838
127.0.0.1, 2021-10-13 15:29:57, GET, /admin/static/_2.21.1/images/files_toggle.png, HTTP/1.1, 200, 0.053011
